Repository Name,Data Platform,Access Count
snagfilms/ViewLiftTools,DynamoDB,937
snagfilms/billing-service,DynamoDB,180
snagfilms/billing-service,MySQL,58
snagfilms/content-service-v2,DynamoDB,301
snagfilms/country-group-service,DynamoDB,6
snagfilms/identity-service,DynamoDB,219
snagfilms/identity-service,MySQL,1
snagfilms/identity-service-v2,DynamoDB,69
snagfilms/licensing-service,DynamoDB,6
snagfilms/management-api,DynamoDB,10
snagfilms/management-api,MySQL,9
snagfilms/model-service,DynamoDB,8
snagfilms/node-libraries,DynamoDB,40
snagfilms/notification-service,DynamoDB,57
snagfilms/notification-service,MySQL,1
snagfilms/oauthservice,DynamoDB,16
snagfilms/otp-service,DynamoDB,8
snagfilms/partner-integrations,DynamoDB,133
snagfilms/playersdkapi,DynamoDB,23
snagfilms/react-render-server,DynamoDB,20
snagfilms/react-webapp,DynamoDB,457
snagfilms/recommendation-service,DynamoDB,28
snagfilms/reconciliation-service,DynamoDB,44
snagfilms/searchv2,DynamoDB,364
snagfilms/searchv2,MySQL,13
snagfilms/site-service,DynamoDB,21
snagfilms/sslcommerz-service,DynamoDB,76
snagfilms/subscription-library,DynamoDB,22
snagfilms/subscription-misc-service,DynamoDB,191
snagfilms/subscription-service,DynamoDB,1891
snagfilms/tax-service,DynamoDB,14
snagfilms/thirdparty-subscription-service,DynamoDB,37
snagfilms/tools-search,DynamoDB,40
snagfilms/tracking-service,DynamoDB,5
snagfilms/transaction-service,DynamoDB,81
snagfilms/user-entitlement-service,DynamoDB,78
snagfilms/user-service,DynamoDB,399
snagfilms/video-on-demand-on-aws,DynamoDB,6
snagfilms/vl_dei_new,DynamoDB,1938
snagfilms/watch-history-service,DynamoDB,88
